"","name","inDegree1","outDegree1","TotalDegree","betweenness1","inCloseness1","outCloseness1","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"108","South-Central Partnership for Energy Efficiency as a Resource",3,8,11,0.00504137127273767,0.00145434829993278,0.00253054824295813,3,8,11,0.00882193818894975,0.00303561956832184,0.00371791796593907,3,6,9,0.00480087601878767,0.0022294715753455,0.00257771582604774,1,4,5,0.0022527354644926,0.004364721265585,0.00489295373371596
"109","Southside Economic and Community Development Corporation",1,0,1,0,0.00145589766909683,0.00125786163522013,1,0,1,0,0.0030426958939964,0.00268096514745308,1,0,1,0,0.00223337181422609,0.00198412698412698,1,0,1,0,0.00438328802086223,0.00420168067226891
"110","Southwest School of Art",1,0,1,0,0.00145549467571249,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"111","Stop Abuse for Everyone",2,0,2,0,0.00146405865085336,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00199598422259787,0.00198412698412698,2,0,2,0,0.00432797662527392,0.00420168067226891
"112","Sustainable Food Center",7,10,17,0.00769089398528826,0.00145309734837185,0.00253356009866206,3,4,7,0.00236935918615773,0.0027173317555278,0.00397223705285638,3,6,9,0.000182173888937293,0.00199600798403194,0.0021093861392782,4,5,9,0.000411213616534363,0.00427350427350427,0.00432884618897149
"113","Tarrant Workforce Solutions",1,0,1,0,0.00145731124240372,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"114","Texan by Nature",4,0,4,0,0.00145644513659218,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.002012,0.00198412698412698,1,0,1,0,0.00429145692246406,0.00420168067226891
"115","Texas Aggregates and Concrete Association",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"116","Texas Alliance of Groundwater Districts",5,8,13,0.00151517472383933,0.00145483062400141,0.00253032244083698,2,0,2,0,0.00304543593941875,0.00268096514745308,3,0,3,0,0.00223556549140218,0.00198412698412698,2,0,2,0,0.00438434216368211,0.00420168067226891
"117","Texas American Water Works Association",2,8,10,0.000795346138493514,0.001458786524781,0.00127064803049555,0,8,8,0,0.00268096514745308,0.00273972602739726,0,4,4,0,0.00198412698412698,0.002,0,2,2,0,0.00420168067226891,0.00423728813559322
"118","Texas Association of Regional Councils",2,0,2,0,0.00145943809795146,0.00125786163522013,1,0,1,0,0.00269539825958424,0.00268096514745308,1,0,1,0,0.00199202398349353,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"119","Texas Center for Local Food",3,0,3,0,0.00145465204686398,0.00125786163522013,2,0,2,0,0.00272459607130825,0.00268096514745308,2,0,2,0,0.00199998409555391,0.00198412698412698,2,0,2,0,0.00423728813559322,0.00420168067226891
